AV0001
CUST_ID,NAME,MOBILE,ADHHAR,BANK_AC,IFSC
1,AV0001_CUST_1,M0000000000,A123412341001,B501000500000010000,B5010005000
2,AV0001_CUST_2 ,M0000000000,A123412341002,B501000500000020000,B5010005000
3,AV0001_CUST_3 ,M0000000000,A123412341003,B501000500000030000,B5010005000
4,AV0001_CUST_4 ,M0000000000,A123412341004,B501000500000040000,B5010005000
5,AV0001_CUST_5 ,M0000000000,A123412341005,B501000500000050000,B5010005000
6,AV0001_CUST_6 ,M0000000000,A123412341006,B501000500000060000,B5010005000
7,AV0001_CUST_7 ,M0000000000,A123412341007,B501000500000070000,B5010005000
8,AV0001_CUST_8 ,M0000000000,A123412341008,B501000500000080000,B5010005000
9,AV0001_CUST_9 ,M0000000000,A123412341009,B501000500000090000,B5010005000
10,AV0001_CUST_10 ,M0000000000,A123412341010,B501000500000100000,B5010005000
11,AV0001_CUST_11 ,M0000000000,A123412341011,B501000500000110000,B5010005000
12,AV0001_CUST_12 ,M0000000000,A123412341012,B501000500000120000,B5010005000
13,AV0001_CUST_13 ,M0000000000,A123412341013,B501000500000130000,B5010005000
14,AV0001_CUST_14 ,M0000000000,A123412341014,B501000500000140000,B5010005000
15,AV0001_CUST_15 ,M0000000000,A123412341015,B501000500000150000,B5010005000
16,AV0001_CUST_16 ,M0000000000,A123412341016,B501000500000160000,B5010005000
17,AV0001_CUST_17 ,M0000000000,A123412341017,B501000500000170000,B5010005000
18,AV0001_CUST_18 ,M0000000000,A123412341018,B501000500000180000,B5010005000
19,AV0001_CUST_19 ,M0000000000,A123412341019,B501000500000190000,B5010005000
20,AV0001_CUST_20 ,M0000000000,A123412341020,B501000500000200000,B5010005000
21,AV0001_CUST_21 ,M0000000000,A123412341021,B501000500000210000,B5010005000
22,AV0001_CUST_22 ,M0000000000,A123412341022,B501000500000220000,B5010005000
23,AV0001_CUST_23 ,M0000000000,A123412341023,B501000500000230000,B5010005000
24,AV0001_CUST_24 ,M0000000000,A123412341024,B501000500000240000,B5010005000
25,AV0001_CUST_25 ,M0000000000,A123412341025,B501000500000250000,B5010005000
26,AV0001_CUST_26 ,M0000000000,A123412341026,B501000500000260000,B5010005000
27,AV0001_CUST_27 ,M0000000000,A123412341027,B501000500000270000,B5010005000
28,AV0001_CUST_28 ,M0000000000,A123412341028,B501000500000280000,B5010005000
29,AV0001_CUST_29 ,M0000000000,A123412341029,B501000500000290000,B5010005000
30,AV0001_CUST_30 ,M0000000000,A123412341030,B501000500000300000,B5010005000
31,AV0001_CUST_31 ,M0000000000,A123412341031,B501000500000310000,B5010005000
32,AV0001_CUST_32 ,M0000000000,A123412341032,B501000500000320000,B5010005000
33,AV0001_CUST_33 ,M0000000000,A123412341033,B501000500000330000,B5010005000
34,AV0001_CUST_34 ,M0000000000,A123412341034,B501000500000340000,B5010005000
35,AV0001_CUST_35 ,M0000000000,A123412341035,B501000500000350000,B5010005000
36,AV0001_CUST_36 ,M0000000000,A123412341036,B501000500000360000,B5010005000
37,AV0001_CUST_37 ,M0000000000,A123412341037,B501000500000370000,B5010005000
38,AV0001_CUST_38 ,M0000000000,A123412341038,B501000500000380000,B5010005000
39,AV0001_CUST_39 ,M0000000000,A123412341039,B501000500000390000,B5010005000
40,AV0001_CUST_40 ,M0000000000,A123412341040,B501000500000400000,B5010005000
41,AV0001_CUST_41 ,M0000000000,A123412341035,B501000500000350000,B5010005000
42,AV0001_CUST_42 ,M0000000000,A123412341036,B501000500000360000,B5010005000
43,AV0001_CUST_43 ,M0000000000,A123412341037,B501000500000370000,B5010005000
44,AV0001_CUST_44 ,M0000000000,A123412341038,B501000500000380000,B5010005000
45,AV0001_CUST_45 ,M0000000000,A123412341039,B501000500000390000,B5010005000
46,AV0001_CUST_46 ,M0000000000,A123412341040,B501000500000400000,B5010005000
47,AV0001_CUST_47 ,M0000000000,A123412341007,B501000500000070000,B5010005000
48,AV0001_CUST_48 ,M0000000000,A123412341008,B501000500000080000,B5010005000
49,AV0001_CUST_49 ,M0000000000,A123412341009,B501000500000090000,B5010005000
50,AV0001_CUST_50 ,M0000000000,A123412341010,B501000500000100000,B5010005000
51,AV0001_CUST_51,M0000000000,A123412341001,B501000500000010000,B5010005000
