DAIRY00001
CUST_ID,NAME,MOBILE,ADHHAR,BANK_AC,IFSC
1,Paras,M9374672571,A123412341001,B501000500000010000,B5010005000
2,Sanjay ,M9374672571,A123412341002,B501000500000020000,B5010005000
3,Kevin ,M9374672571,A123412341003,B501000500000030000,B5010005000
4,Paras 2 ,M9374672571,A123412341004,B501000500000040000,B5010005000
5,DAIRY00001_CUST_5 ,M9374672571,A123412341005,B501000500000050000,B5010005000
6,DAIRY00001_CUST_6 ,M9374672571,A123412341006,B501000500000060000,B5010005000
7,DAIRY00001_CUST_7 ,M9374672571,A123412341007,B501000500000070000,B5010005000
8,DAIRY00001_CUST_8 ,M9374672571,A123412341008,B501000500000080000,B5010005000
9,DAIRY00001_CUST_9 ,M9374672571,A123412341009,B501000500000090000,B5010005000
10,DAIRY00001_CUST_10 ,M9374672571,A123412341010,B501000500000100000,B5010005000
11,DAIRY00001_CUST_11 ,M9374672571,A123412341011,B501000500000110000,B5010005000
12,DAIRY00001_CUST_12 ,M9374672571,A123412341012,B501000500000120000,B5010005000
13,DAIRY00001_CUST_13 ,M9374672571,A123412341013,B501000500000130000,B5010005000
14,DAIRY00001_CUST_14 ,M9374672571,A123412341014,B501000500000140000,B5010005000
15,DAIRY00001_CUST_15 ,M9374672571,A123412341015,B501000500000150000,B5010005000
16,DAIRY00001_CUST_16 ,M9374672571,A123412341016,B501000500000160000,B5010005000
17,DAIRY00001_CUST_17 ,M9374672571,A123412341017,B501000500000170000,B5010005000
18,DAIRY00001_CUST_18 ,M9374672571,A123412341018,B501000500000180000,B5010005000
19,DAIRY00001_CUST_19 ,M9374672571,A123412341019,B501000500000190000,B5010005000
20,DAIRY00001_CUST_20 ,M9374672571,A123412341020,B501000500000200000,B5010005000
21,DAIRY00001_CUST_21 ,M9374672571,A123412341021,B501000500000210000,B5010005000
22,DAIRY00001_CUST_22 ,M9374672571,A123412341022,B501000500000220000,B5010005000
23,DAIRY00001_CUST_23 ,M9374672571,A123412341023,B501000500000230000,B5010005000
24,DAIRY00001_CUST_24 ,M9374672571,A123412341024,B501000500000240000,B5010005000
25,DAIRY00001_CUST_25 ,M9374672571,A123412341025,B501000500000250000,B5010005000
26,DAIRY00001_CUST_26 ,M9374672571,A123412341026,B501000500000260000,B5010005000
27,DAIRY00001_CUST_27 ,M9374672571,A123412341027,B501000500000270000,B5010005000
28,DAIRY00001_CUST_28 ,M9374672571,A123412341028,B501000500000280000,B5010005000
29,DAIRY00001_CUST_29 ,M9374672571,A123412341029,B501000500000290000,B5010005000
30,DAIRY00001_CUST_30 ,M9374672571,A123412341030,B501000500000300000,B5010005000
31,DAIRY00001_CUST_31 ,M9374672571,A123412341031,B501000500000310000,B5010005000
32,DAIRY00001_CUST_32 ,M9374672571,A123412341032,B501000500000320000,B5010005000
33,DAIRY00001_CUST_33 ,M9374672571,A123412341033,B501000500000330000,B5010005000
34,DAIRY00001_CUST_34 ,M9374672571,A123412341034,B501000500000340000,B5010005000
35,DAIRY00001_CUST_35 ,M9374672571,A123412341035,B501000500000350000,B5010005000
36,DAIRY00001_CUST_36 ,M9374672571,A123412341036,B501000500000360000,B5010005000
37,DAIRY00001_CUST_37 ,M9374672571,A123412341037,B501000500000370000,B5010005000
38,DAIRY00001_CUST_38 ,M9374672571,A123412341038,B501000500000380000,B5010005000
39,DAIRY00001_CUST_39 ,M9374672571,A123412341039,B501000500000390000,B5010005000
40,DAIRY00001_CUST_40 ,M9374672571,A123412341040,B501000500000400000,B5010005000
41,DAIRY00001_CUST_41 ,M9374672571,A123412341035,B501000500000350000,B5010005000
42,DAIRY00001_CUST_42 ,M9374672571,A123412341036,B501000500000360000,B5010005000
43,DAIRY00001_CUST_43 ,M9374672571,A123412341037,B501000500000370000,B5010005000
44,DAIRY00001_CUST_44 ,M9374672571,A123412341038,B501000500000380000,B5010005000
45,DAIRY00001_CUST_45 ,M9374672571,A123412341039,B501000500000390000,B5010005000
46,DAIRY00001_CUST_46 ,M9374672571,A123412341040,B501000500000400000,B5010005000
47,DAIRY00001_CUST_47 ,M9374672571,A123412341007,B501000500000070000,B5010005000
48,DAIRY00001_CUST_48 ,M9374672571,A123412341008,B501000500000080000,B5010005000
49,DAIRY00001_CUST_49 ,M9374672571,A123412341009,B501000500000090000,B5010005000
