DAIRY00012
CUST_ID,NAME,MOBILE,ADHHAR,BANK_AC,IFSC
1,kevin new,M9374672571,A123412341001,B501000500000010000,B5010005000
2,kevin 2,M9374672571,A123412341002,B501000500000020000,B5010005000
3,Sanjay 3,M9374672571,A123412341003,B501000500000030000,B5010005000
4,Jack 4,M9374672571,A123412341004,B501000500000040000,B5010005000
5,asd 5,M9374672571,A123412341005,B501000500000050000,B5010005000
6,PARAS 6,M9374672571,A123412341006,B501000500000060000,B5010005000
7,PARAS 7,M9374672571,A123412341007,B501000500000070000,B5010005000
8,PARAS 8,M9374672571,A123412341008,B501000500000080000,B5010005000
9,PARAS 9,M9374672571,A123412341009,B501000500000090000,B5010005000
10,PARAS 10,M9374672571,A123412341010,B501000500000100000,B5010005000
11,PARAS 11,M9374672571,A123412341011,B501000500000110000,B5010005000
12,PARAS 12,M9374672571,A123412341012,B501000500000120000,B5010005000
13,PARAS 13,M9374672571,A123412341013,B501000500000130000,B5010005000
14,PARAS 14,M9374672571,A123412341014,B501000500000140000,B5010005000
15,PARAS 15,M9374672571,A123412341015,B501000500000150000,B5010005000
16,PARAS 16,M9374672571,A123412341016,B501000500000160000,B5010005000
17,PARAS 17,M9374672571,A123412341017,B501000500000170000,B5010005000
18,PARAS 18,M9374672571,A123412341018,B501000500000180000,B5010005000
19,PARAS 19,M9374672571,A123412341019,B501000500000190000,B5010005000
20,PARAS 20,M9374672571,A123412341020,B501000500000200000,B5010005000
21,PARAS 21,M9374672571,A123412341021,B501000500000210000,B5010005000
22,PARAS 22,M9374672571,A123412341022,B501000500000220000,B5010005000
23,PARAS 23,M9374672571,A123412341023,B501000500000230000,B5010005000
24,PARAS 24,M9374672571,A123412341024,B501000500000240000,B5010005000
25,PARAS 25,M9374672571,A123412341025,B501000500000250000,B5010005000
26,PARAS 26,M9374672571,A123412341026,B501000500000260000,B5010005000
27,PARAS 27,M9374672571,A123412341027,B501000500000270000,B5010005000
28,PARAS 28,M9374672571,A123412341028,B501000500000280000,B5010005000
29,PARAS 29,M9374672571,A123412341029,B501000500000290000,B5010005000
30,PARAS 30,M9374672571,A123412341030,B501000500000300000,B5010005000
31,PARAS 31,M9374672571,A123412341031,B501000500000310000,B5010005000
32,PARAS 32,M9374672571,A123412341032,B501000500000320000,B5010005000
